Kaunas
Studentų g. 1
1111111
AAA000;Honda;A1;2008-09-01;2021-07-23;Benzinas;20.7
BBB001;BMW;X5;2007-03-04;2020-05-20;Dyzelinas;15.7
AAA001;Honda;A1;2002-04-25;2022-01-09;Dyzelinas;14
BBB002;Audi;B6;2010-06-01;2021-07-23;Dyzelinas;16.6
AAA002;Opel;C4;2008-09-01;2020-05-20;Dyzelinas;25.6
BBB003;Opel;C50;2007-03-04;2022-01-09;Benzinas;16.4
AAA003;Opel;C6;2002-04-25;2021-07-23;Benzinas;19.24
BBB004;Audi;B8;2010-06-01;2020-11-20;Dyzelinas;19.55
AAA004;BMW;M5;2008-09-01;2022-01-09;Dyzelinas;19.86
BBB005;BMW;X3;2007-03-04;2021-07-23;Benzinas;20.17
AAA005;Honda;A10;2002-04-25;2020-05-20;Dyzelinas;20.48
BBB006;Honda;A10;2010-06-01;2022-01-09;Benzinas;20.78
AAA006;Honda;A58;2008-09-01;2021-07-23;Benzinas;21.09
BBB007;Audi;S100;2007-03-04;2020-05-20;Dyzelinas;21.4
AAA007;Audi;S45;2002-04-25;2022-01-09;Dyzelinas;21.71
BBB008;Honda;A488;2010-06-01;2021-07-23;Benzinas;22.02
AAA008;BMW;M3;2008-09-01;2020-05-20;Dyzelinas;26.3
